symbol,signal_time,entry_time,exit_time,bias,score,entry_price,stop_price,target_1,target_2,risk_per_share,shares,atr_14,hit_t1,exit_reason,pnl_dollars,r_multiple,reasons
GOOGL,2026-03-03 10:15:00-05:00,2026-03-03 10:30:00-05:00,2026-03-03 11:00:00-05:00,SHORT,65,297.28,300.09,291.66,288.84,2.8119,35,1.8746,False,stop,-98.42,-0.984,"below 20-bar average, negative short-term momentum, near recent intraday low"
META,2026-03-04 15:45:00-05:00,2026-03-05 09:30:00-05:00,2026-03-05 09:30:00-05:00,SHORT,65,662.15,665.45,655.54,652.24,3.3026,30,2.2017,False,stop,-99.08,-0.991,"below 20-bar average, strong relative volume, near recent intraday low"
AAPL,2026-03-04 15:45:00-05:00,2026-03-05 09:30:00-05:00,2026-03-05 10:45:00-05:00,SHORT,65,260.74,261.75,258.74,257.73,1.0037,99,0.6691,True,stop_after_t1,98.36,0.984,"below 20-bar average, strong relative volume, near recent intraday low"
AVGO,2026-03-04 15:45:00-05:00,2026-03-05 09:30:00-05:00,2026-03-05 09:30:00-05:00,SHORT,85,330.17,332.21,326.11,324.08,2.0304,49,1.3536,True,target_2,249.74,2.497,"below 20-bar average, negative short-term momentum, strong relative volume, near recent intraday low"
GOOGL,2026-03-04 15:45:00-05:00,2026-03-05 09:30:00-05:00,2026-03-05 09:30:00-05:00,SHORT,65,303.01,304.04,300.94,299.9,1.0339,96,0.6893,True,target_2,248.15,2.481,"below 20-bar average, strong relative volume, near recent intraday low"
NVDA,2026-03-05 09:30:00-05:00,2026-03-05 09:45:00-05:00,2026-03-05 09:45:00-05:00,SHORT,85,181.1,182.26,178.77,177.61,1.1647,85,0.7765,False,stop,-99.0,-0.99,"below 20-bar average, negative short-term momentum, strong relative volume, near recent intraday low"
META,2026-03-05 10:15:00-05:00,2026-03-05 10:30:00-05:00,2026-03-06 09:30:00-05:00,SHORT,65,662.09,667.21,651.87,646.76,5.1128,19,3.4085,True,target_2,245.41,2.454,"below 20-bar average, negative short-term momentum, near recent intraday low"
NVDA,2026-03-05 10:15:00-05:00,2026-03-05 10:30:00-05:00,2026-03-05 10:45:00-05:00,SHORT,65,181.7,183.14,178.81,177.37,1.4437,69,0.9625,False,stop,-99.62,-0.996,"below 20-bar average, negative short-term momentum, near recent intraday low"
GOOGL,2026-03-05 10:15:00-05:00,2026-03-05 10:30:00-05:00,2026-03-06 10:00:00-05:00,SHORT,65,299.64,301.64,295.64,293.63,2.0022,49,1.3348,True,stop_after_t1,96.11,0.961,"below 20-bar average, negative short-term momentum, near recent intraday low"
META,2026-03-05 11:00:00-05:00,2026-03-05 11:15:00-05:00,2026-03-06 09:30:00-05:00,SHORT,65,658.57,664.2,647.3,641.66,5.6335,17,3.7557,True,target_2,242.24,2.422,"below 20-bar average, negative short-term momentum, near recent intraday low"
GOOGL,2026-03-05 11:00:00-05:00,2026-03-05 11:15:00-05:00,2026-03-09 10:45:00-04:00,SHORT,85,299.2,301.45,294.71,292.46,2.2463,44,1.4976,True,stop_after_t1,98.84,0.988,"below 20-bar average, negative short-term momentum, strong relative volume, near recent intraday low"
META,2026-03-05 12:15:00-05:00,2026-03-05 12:30:00-05:00,2026-03-06 09:30:00-05:00,SHORT,65,655.92,661.94,643.89,637.87,6.0187,16,4.0125,True,target_2,240.75,2.407,"below 20-bar average, negative short-term momentum, near recent intraday low"
NVDA,2026-03-05 12:15:00-05:00,2026-03-05 12:30:00-05:00,2026-03-05 15:45:00-05:00,SHORT,65,181.07,182.94,177.32,175.45,1.8742,53,1.2495,False,stop,-99.33,-0.993,"below 20-bar average, negative short-term momentum, near recent intraday low"
AAPL,2026-03-05 12:15:00-05:00,2026-03-05 12:30:00-05:00,2026-03-09 15:15:00-04:00,SHORT,65,259.04,261.21,254.7,252.52,2.1718,46,1.4478,True,stop_after_t1,99.9,0.999,"below 20-bar average, negative short-term momentum, near recent intraday low"
NVDA,2026-03-05 12:45:00-05:00,2026-03-05 13:00:00-05:00,2026-03-05 14:00:00-05:00,SHORT,85,178.67,180.78,174.45,172.34,2.1115,47,1.4077,False,stop,-99.24,-0.992,"below 20-bar average, negative short-term momentum, strong relative volume, near recent intraday low"
META,2026-03-05 13:15:00-05:00,2026-03-05 13:30:00-05:00,2026-03-05 15:00:00-05:00,SHORT,65,653.18,658.72,642.09,636.55,5.5433,18,3.6955,False,stop,-99.78,-0.998,"below 20-bar average, negative short-term momentum, near recent intraday low"
GOOGL,2026-03-05 13:15:00-05:00,2026-03-05 13:30:00-05:00,2026-03-05 15:15:00-05:00,SHORT,65,298.27,300.36,294.09,292.0,2.0891,47,1.3928,False,stop,-98.19,-0.982,"below 20-bar average, negative short-term momentum, near recent intraday low"
AAPL,2026-03-05 13:45:00-05:00,2026-03-05 14:00:00-05:00,2026-03-05 15:45:00-05:00,SHORT,65,258.19,259.95,254.65,252.88,1.7679,56,1.1786,False,stop,-99.0,-0.99,"below 20-bar average, negative short-term momentum, near recent intraday low"
META,2026-03-06 09:30:00-05:00,2026-03-06 09:45:00-05:00,2026-03-06 10:30:00-05:00,SHORT,65,640.0,646.63,626.74,620.11,6.6296,15,4.4198,False,stop,-99.44,-0.994,"below 20-bar average, negative short-term momentum, strong relative volume"
AAPL,2026-03-06 09:30:00-05:00,2026-03-06 09:45:00-05:00,2026-03-06 10:45:00-05:00,SHORT,85,255.49,257.48,251.53,249.54,1.9837,50,1.3225,False,stop,-99.19,-0.992,"below 20-bar average, negative short-term momentum, strong relative volume, near recent intraday low"
AMZN,2026-03-06 09:30:00-05:00,2026-03-06 09:45:00-05:00,2026-03-09 09:30:00-04:00,SHORT,65,216.12,217.79,212.79,211.12,1.667,59,1.1114,True,target_2,246.72,2.467,"below 20-bar average, negative short-term momentum, strong relative volume"
GOOGL,2026-03-06 09:30:00-05:00,2026-03-06 09:45:00-05:00,2026-03-06 10:00:00-05:00,SHORT,65,297.2,299.29,293.01,290.92,2.0925,47,1.395,False,stop,-98.35,-0.983,"below 20-bar average, negative short-term momentum, strong relative volume"
AMZN,2026-03-06 12:30:00-05:00,2026-03-06 12:45:00-05:00,2026-03-09 09:45:00-04:00,SHORT,65,214.47,216.59,210.23,208.1,2.1225,47,1.415,True,target_2,250.45,2.505,"below 20-bar average, negative short-term momentum, near recent intraday low"
AMZN,2026-03-06 13:15:00-05:00,2026-03-06 13:30:00-05:00,2026-03-09 09:30:00-04:00,SHORT,65,214.76,216.44,211.41,209.73,1.6757,59,1.1171,True,target_2,248.0,2.48,"below 20-bar average, negative short-term momentum, near recent intraday low"
NVDA,2026-03-06 15:00:00-05:00,2026-03-06 15:15:00-05:00,2026-03-09 10:30:00-04:00,SHORT,85,178.82,179.97,176.52,175.37,1.1495,86,0.7663,True,stop_after_t1,98.86,0.989,"below 20-bar average, negative short-term momentum, strong relative volume, near recent intraday low"
AVGO,2026-03-06 15:00:00-05:00,2026-03-06 15:15:00-05:00,2026-03-09 09:45:00-04:00,SHORT,85,332.22,336.03,324.59,320.78,3.8128,26,2.5419,True,stop_after_t1,99.13,0.991,"below 20-bar average, negative short-term momentum, strong relative volume, near recent intraday low"
GOOGL,2026-03-06 15:00:00-05:00,2026-03-06 15:15:00-05:00,2026-03-09 09:30:00-04:00,SHORT,65,299.23,300.57,296.55,295.21,1.3409,74,0.8939,True,target_2,248.06,2.481,"below 20-bar average, strong relative volume, near recent intraday low"
META,2026-03-06 15:15:00-05:00,2026-03-06 15:30:00-05:00,2026-03-09 09:30:00-04:00,SHORT,65,643.34,646.62,636.78,633.5,3.2805,30,2.187,True,target_2,246.04,2.46,"below 20-bar average, negative short-term momentum, near recent intraday low"
