symbol,bias,entry_time,exit_time,entry_price,exit_price,stop_price,target1,target2,atr14,risk_per_share,shares,pnl,r_multiple,exit_reason,trade_date
AVGO,SHORT,2026-02-26 14:30:00+00:00,2026-02-26 15:15:00+00:00,318.725,312.2613,320.8796,314.4158,312.2613,2.1546,2.1546,46,247.78,2.478,T2,2026-02-26
AAPL,SHORT,2026-02-26 14:45:00+00:00,2026-02-26 15:30:00+00:00,273.875,271.4202,274.6933,272.2384,271.4202,0.8183,0.8183,122,249.58,2.496,T2,2026-02-26
AMZN,SHORT,2026-02-26 16:30:00+00:00,2026-02-26 19:00:00+00:00,207.62,207.62,208.5447,205.7706,204.8458,0.9247,0.9247,108,99.87,0.999,BE_STOP,2026-02-26
AAPL,SHORT,2026-03-06 14:30:00+00:00,2026-03-06 15:15:00+00:00,255.51,256.8325,256.8325,252.865,251.5425,1.3225,1.3225,75,-99.19,-0.992,STOP,2026-03-06
AMZN,SHORT,2026-03-06 14:45:00+00:00,2026-03-06 15:00:00+00:00,214.51,215.6896,215.6896,212.1509,210.9713,1.1796,1.1796,84,-99.08,-0.991,STOP,2026-03-06
GOOGL,SHORT,2026-03-06 19:45:00+00:00,2026-03-06 20:00:00+00:00,298.78,299.6689,299.6689,297.0021,296.1132,0.8889,0.8889,112,-99.56,-0.996,STOP,2026-03-06
NVDA,SHORT,2026-03-06 20:00:00+00:00,2026-03-06 20:45:00+00:00,178.82,177.73,179.5864,177.2873,176.521,0.7663,0.7663,130,170.48,1.705,EOD_AFTER_T1,2026-03-06
AVGO,SHORT,2026-03-06 20:00:00+00:00,2026-03-06 20:45:00+00:00,332.245,330.47,334.7868,327.1613,324.6194,2.5419,2.5419,39,69.22,0.692,EOD_NO_T1,2026-03-06
META,SHORT,2026-03-06 20:15:00+00:00,2026-03-06 20:45:00+00:00,643.48,645.667,645.667,639.1059,636.9189,2.187,2.187,45,-98.42,-0.984,STOP,2026-03-06
META,SHORT,2026-03-10 19:15:00+00:00,2026-03-10 19:45:00+00:00,653.085,654.08,655.4193,648.4165,646.0823,2.3342,2.3342,42,-41.79,-0.418,EOD_NO_T1,2026-03-10
AAPL,SHORT,2026-03-10 19:15:00+00:00,2026-03-10 19:45:00+00:00,260.505,260.72,261.3545,258.806,257.9565,0.8495,0.8495,117,-25.15,-0.252,EOD_NO_T1,2026-03-10
AMZN,SHORT,2026-03-10 19:15:00+00:00,2026-03-10 19:45:00+00:00,213.96,214.34,214.8054,212.2692,211.4238,0.8454,0.8454,118,-44.84,-0.448,EOD_NO_T1,2026-03-10
AVGO,SHORT,2026-03-10 19:15:00+00:00,2026-03-10 19:45:00+00:00,342.5,342.6,344.3326,338.8347,337.0021,1.8326,1.8326,54,-5.4,-0.054,EOD_NO_T1,2026-03-10
NVDA,SHORT,2026-03-10 19:30:00+00:00,2026-03-10 19:45:00+00:00,183.795,184.5473,184.5473,182.2904,181.5381,0.7523,0.7523,132,-99.3,-0.993,STOP,2026-03-10
GOOGL,SHORT,2026-03-10 19:30:00+00:00,2026-03-10 19:45:00+00:00,306.88,307.04,307.7877,305.0647,304.157,0.9077,0.9077,110,-17.6,-0.176,EOD_NO_T1,2026-03-10
AAPL,SHORT,2026-03-11 13:30:00+00:00,2026-03-11 19:45:00+00:00,261.355,260.81,262.292,259.481,258.544,0.937,0.937,106,57.77,0.578,EOD_NO_T1,2026-03-11
GOOGL,SHORT,2026-03-11 13:30:00+00:00,2026-03-11 13:45:00+00:00,306.77,307.7728,307.7728,304.7643,303.7614,1.0029,1.0029,99,-99.28,-0.993,STOP,2026-03-11
META,SHORT,2026-03-11 14:15:00+00:00,2026-03-11 19:45:00+00:00,652.7201,654.7,655.8596,646.4411,643.3016,3.1395,3.1395,31,-61.38,-0.614,EOD_NO_T1,2026-03-11
AMZN,SHORT,2026-03-11 14:15:00+00:00,2026-03-11 19:45:00+00:00,213.62,212.64,214.8864,211.0872,209.8208,1.2664,1.2664,78,76.44,0.764,EOD_NO_T1,2026-03-11
META,SHORT,2026-03-12 13:30:00+00:00,2026-03-12 15:00:00+00:00,649.335,642.538,651.6007,644.8036,642.538,2.2657,2.2657,44,249.23,2.492,T2,2026-03-12
NVDA,SHORT,2026-03-12 13:30:00+00:00,2026-03-12 15:30:00+00:00,183.6501,183.6501,184.3151,182.32,181.655,0.665,0.665,150,99.76,0.998,BE_STOP,2026-03-12
AAPL,SHORT,2026-03-12 13:30:00+00:00,2026-03-12 14:30:00+00:00,256.95,254.3619,257.8127,255.2246,254.3619,0.8627,0.8627,115,248.46,2.485,T2,2026-03-12
GOOGL,SHORT,2026-03-12 13:30:00+00:00,2026-03-12 14:15:00+00:00,306.05,302.9382,307.0872,303.9755,302.9382,1.0373,1.0373,96,248.94,2.489,T2,2026-03-12
AVGO,SHORT,2026-03-12 13:30:00+00:00,2026-03-12 15:30:00+00:00,336.28,336.28,338.0661,332.7079,330.9218,1.7861,1.7861,55,96.45,0.964,BE_STOP,2026-03-12
AMZN,SHORT,2026-03-12 15:00:00+00:00,2026-03-12 15:30:00+00:00,208.295,209.4707,209.4707,205.9436,204.7679,1.1757,1.1757,85,-99.94,-0.999,STOP,2026-03-12
AAPL,SHORT,2026-03-13 14:00:00+00:00,2026-03-13 15:30:00+00:00,255.2,253.0528,255.9157,253.7685,253.0528,0.7157,0.7157,139,249.07,2.491,T2,2026-03-13
NVDA,SHORT,2026-03-13 14:30:00+00:00,2026-03-13 19:45:00+00:00,182.9,180.0063,183.8645,180.9709,180.0063,0.9646,0.9646,103,248.85,2.489,T2,2026-03-13
AVGO,SHORT,2026-03-13 14:30:00+00:00,2026-03-13 15:30:00+00:00,331.66,324.9788,333.8871,327.2058,324.9788,2.2271,2.2271,44,244.98,2.45,T2,2026-03-13
META,SHORT,2026-03-13 14:45:00+00:00,2026-03-13 19:45:00+00:00,619.49,613.63,623.1096,612.2507,608.631,3.6197,3.6197,27,176.15,1.762,EOD_AFTER_T1,2026-03-13
AMZN,SHORT,2026-03-13 15:45:00+00:00,2026-03-13 18:30:00+00:00,207.125,208.1929,208.1929,204.9892,203.9213,1.0679,1.0679,93,-99.32,-0.993,STOP,2026-03-13
GOOGL,SHORT,2026-03-13 15:45:00+00:00,2026-03-13 19:45:00+00:00,302.92,302.22,304.3782,300.0036,298.5454,1.4582,1.4582,68,47.6,0.476,EOD_NO_T1,2026-03-13
